Emissions Species,Sectors
Black Carbon (BC),Agricultural Waste Burning
Hexafluoroethane (C2F6),Agriculture
Tetrafluoromethane (CF4),Aircraft
Methane (CH4),Energy Sector
Carbon Dioxide (CO2),Forest Burning
Carbon Monoxide (CO),Grassland Burning
Hydrofluorocarbons (HFCs),Industrial Sector
Nitrous Oxide (N2O),International Shipping
Ammonia (NH3),Residential Commercial Other
Nitrogen Oxides (NOx),Solvents Production and Application
Organic Carbon (OC),Transportation Sector
Sulfur Hexafluoride (SF6),Unharmonized
Sulfur Oxides (SOx),Waste
Volatile Organic Compounds (VOCs),
